,index,Country,Life_expectancy,Adult_mortality,Infant_mortality,Alcohol_consumption,HepB_immunization,Measles_cases,BMI,Under_5_deaths,Polio_immunization,Total_health_expenditure,Diphtheria_immunization,HIV_AIDS_deaths,GDP_per_capita,Population,Thinness_1_19_years,Thinness_5_9_years,Human_development_index,Schooling_years
0,0,Afghanistan,59.120000000000005,224.4,77.0,0.014000000000000002,64.6,139.03214720795077,15.84,105.4,34.4,7.914,46.6,0.1,398.56545696,27636775.0,18.66,15.2,0.41719999999999996,8.28
1,1,Albania,75.2,63.666666666666664,1.0,5.57,98.33333333333333,22.666666666666668,37.300000000000004,1.0,98.0,5.84,98.0,0.10000000000000002,1528.9351640000002,2955793.0,1.5999999999999999,1.6666666666666667,0.71,11.866666666666667
2,2,Algeria,74.30000000000001,100.33333333333333,20.555555555555557,0.8680316321105795,82.64228911185432,694.7777777777778,23.903561444249668,23.666666666666668,93.55555555555556,5.250225885225885,93.55555555555556,0.1,3426.839142,36276106.0,6.022222222222222,5.9,0.7112222222222222,13.377777777777778
3,3,Angola,48.05714285714286,328.2857142857143,87.57142857142857,5.262857142857143,77.30320114667941,139.03214720795077,15.742857142857144,139.85714285714286,48.285714285714285,4.137142857142857,39.285714285714285,2.4285714285714284,1999.9599125714285,20444488.0,4.671428571428572,5.885714285714286,0.4422857142857143,7.242857142857143
4,4,Antigua and Barbuda,75.05625,127.5,0.0,7.734517793062201,97.29878762541806,0.0,38.425,0.0,96.9375,4.862627060439561,98.3125,0.125,9759.305728125,90000.0,3.425,3.375,0.48862500000000003,8.84375
5,5,Argentina,75.61428571428571,89.42857142857143,9.285714285714286,7.448897812713603,90.85714285714286,3.0,23.903561444249668,10.428571428571429,94.0,5.977433281004709,94.71428571428571,0.1,8217.246178142857,41384880.0,1.0285714285714287,0.9285714285714286,0.8067142857142857,16.914285714285715
6,6,Armenia,73.62,131.0,1.0,4.0840000000000005,93.6,456.6,23.903561444249668,1.0,94.8,4.51,77.2,0.1,3013.5597652,2900931.0,2.0,2.1,0.717,12.1
7,7,Australia,82.53333333333333,60.333333333333336,1.0,8.13742822966507,91.66666666666667,143.66666666666666,23.903561444249668,1.0,92.0,8.217344322344323,92.0,0.10000000000000002,64008.120323333336,23211648.0,0.6,0.6,0.9333333333333335,20.266666666666666
8,8,Austria,82.02499999999999,65.0,0.0,11.4876903907496,87.75,98.66666666666667,23.903561444249668,0.0,87.83333333333333,5.125169413919414,87.83333333333333,0.10000000000000002,34935.301106666666,8352160.0,1.7416666666666665,1.95,0.8674166666666667,15.316666666666668
9,9,Azerbaijan,74.2,124.33333333333333,5.333333333333333,2.2074282296650716,86.0,0.0,23.903561444249668,6.0,91.33333333333333,5.717344322344322,88.66666666666667,0.10000000000000002,2682.3147796666667,9297456.0,2.7999999999999994,2.8666666666666667,0.7426666666666666,12.033333333333333
